投资主体简称,投资主体全称,已过投决公司简称,已过投决公司全称,历史信息关键词
,,锦欣生殖,四川锦欣生殖医疗管理有限公司 ,
,,棒谷网络,广州棒谷科技股份有限公司,
,,洁绿科技,北京洁绿环境科技股份有限公司,
,,宏伟供应,浙江宏伟供应链集团股份有限公司,
,,奥比中光,深圳奥比中光科技有限公司,
,,华龙证券,华龙证券股份有限公司,
,,铂力特,西安铂力特增材技术股份有限公司,
,,康宁医院,温州康宁医院股份有限公司,
,,苑东生物,成都苑东生物制药股份有限公司,
,,苑东制药,成都苑东生物制药股份有限公司,
,,中奥科技,杭州中奥科技有限公司,
,,博通集成,博通集成电路（上海）股份有限公司,
,,容汇锂业,江苏容汇通用锂业股份有限公司,
,,上海昌强,上海昌强工业科技股份有限公司,
,,桑尼能源,杭州桑尼能源科技股份有限公司,
,,威腾股份,威腾电气集团股份有限公司,
,,华阳国际,深圳市华阳国际工程设计股份有限公司,
,,宏杉科技,杭州宏杉科技股份有限公司,
,,当虹科技,杭州当虹科技股份有限公司,
,,微宏动力,微宏动力系统（湖州）有限公司,
,,Impulse,Impulse Dynamics N.V.,
,,鲁晨新材,成都鲁晨新材料科技有限公司,
,,乐奥医疗,常州乐奥医疗科技股份有限公司,
,,石磊氟材料,江西石磊氟材料有限责任公司,
,,上海宏天元,上海宏天元创业投资合伙企业（有限合伙）,
,,首都在线,北京首都在线科技股份有限公司,
,,会通新材,会通新材料股份有限公司,
,,环创科技,环创（厦门）科技股份有限公司,
,,通达电气,广州通达汽车电气股份有限公司,
,,中国黄金,中国黄金集团黄金珠宝股份有限公司,
,,智同医药,河北智同生物制药股份有限公司,
,,Edetek,EDETEK Inc.,
,,金石新能源,金石新能源投资（深圳）合伙企业（有限合伙）,
,,江西国光,江西国光商业连锁股份有限公司,
,,澜起科技,澜起科技股份有限公司,
,,中投保,中国投融资担保股份有限公司,
,,正元地信,正元地理信息集团股份有限公司,
,,正元地信,正元地理信息集团股份有限公司,
,,恩威医药,恩威医药股份有限公司,
,,长远锂科,湖南长远锂科有限公司,
,,Nanopore,Oxford Nanopore Technologies Limited ,
,,AIRDOC,北京郁金香伙伴科技有限公司,
,,AIRDOC,北京郁金香伙伴科技有限公司,
,,华维节水,华维节水科技集团股份有限公司,
,,睿创微纳,烟台睿创微纳技术股份有限公司,
,,容百科技,宁波容百新能源科技股份有限公司,
,,容百科技,宁波容百新能源科技股份有限公司,
,,容百科技,宁波容百新能源科技股份有限公司,
,,信保三期,西藏信昇股权投资合伙企业（有限合伙）,
,,柏楚电子,上海柏楚电子科技股份有限公司,
,,欧冶云商,欧冶云商股份有限公司,
,,传音控股,深圳传音控股股份有限公司,
,,CNBIO,CN Bio Innovations Limited,
,,CNBIO,CN Bio Innovations Limited,
,,海创光电,福建海创光电有限公司,
,,杰华特,杰华特微电子（杭州）有限公司,
,,青海黄河,青海黄河上游水电开发有限责任公司,
,,明士达,浙江明士达新材料有限公司,
,,中化能源,中化能源股份有限公司,
,,千禧龙纤,浙江千禧龙纤特种纤维股份有限公司,
,,凯盛新材,山东凯盛新材料股份有限公司,
,,石头科技,北京石头世纪科技股份有限公司,
,,金科物业,金科智慧服务集团股份有限公司,
,,普冉半导体,普冉半导体（上海）股份有限公司,
,,广州证券,中信证券华南股份有限公司,
,,中信证券华南,中信证券华南股份有限公司,
,,清听声学,"苏州清听声学科技有限公司
",
,,岚锋创视,影石创新科技股份有限公司,
,,华鼎股份,深圳前海广证纵联互联网产业基金（有限合伙）,
,,广州航空基金,广州航空产业基金管理有限公司,
,,广州航空产业基金,广州航空产业基金管理有限公司,
,,华通能源,西安华通新能源股份有限公司,
,,智信717号,万向信托-智信717号事务管理类集合资金信托计划,
,,智信717号,万向信托-智信717号事务管理类集合资金信托计划,
,,护童家具,"浙江安吉护童家具有限公司
",
,,中聚合臣,合肥中聚合臣电子材料有限公司,
,,圆心科技,北京圆心科技有限公司,
,,宏济堂,山东宏济堂制药集团股份有限公司,
,,九瑞健康,西藏九瑞健康股份有限公司,
,,慧辰资讯,北京慧辰资道资讯股份有限公司,
,,震有科技,深圳震有科技股份有限公司,
,,爱科百发,上海爱科百发生物医药技术有限公司,
,,徐工混改,徐工集团工程机械股份有限公司,
,,珑璟光电,深圳市珑璟光电科技有限公司,
,,合肥江航,合肥江航飞机装备股份有限公司,
,,长扬科技,长扬科技（北京）有限公司,
,,富创项目,沈阳富创精密设备有限公司,
,,键凯科技,北京键凯科技股份有限公司,
,,星际荣耀,北京星际荣耀空间科技有限公司,
,,海目星,深圳市海目星激光智能装备股份有限公司,
,,中电科基金,中电科核心技术创新投资基金合伙企业（有限合伙）,
,,芯海科技,芯海科技（深圳）股份有限公司,
,,道通无人机,深圳市道通智能航空技术有限公司,
,,道通智能,深圳市道通智能航空技术有限公司,
,,微步在线,北京微步在线科技有限公司,
,,微信步,北京微步在线科技有限公司,
,,呯嘭智能,杭州呯嘭智能技术有限公司（PingPong）,
,,国芯科技,杭州国芯科技有限公司,
,,乾元浩,乾元浩生物股份有限公司,
,,启尔机电立项,浙江启尔机电技术有限公司,
,,迪谱诊断,浙江迪普诊断技术有限公司,
,,泰坦科技,上海泰坦科技股份有限公司,
,,瑞华赢,北京瑞华赢科技发展有限公司,
,,长江电力（GDR）,长江电力股份有限公司,
,,深圳晶泰科技有限公司,QuantumPharm Inc.（以下简称“晶泰科技”、“公司”）,
,,英思嘉,成都英思嘉半导体技术有限公司,
,,迅特通信,深圳市迅特通信技术有限公司,
,,吉威股份,北京吉威空间信息股份有限公司,
,,新磊半导体,新磊半导体科技（苏州）有限公司,
,,博砚电子,江苏博砚电子科技有限公司,
,,恒润科技,北京经纬恒润科技股份有限公司,
,,艾力斯,上海艾力斯医药科技股份有限公司,
,,湖南设计院,湖南省建筑设计院有限公司,
,,柳工混改,广西柳工集团机械有限公司,
,,瑞为信息,厦门瑞为信息技术有限公司,
,,华道信息,华道信息处理（苏州）有限公司,
,,6D基金,合资生物医药创新基金合伙企业（有限合伙）暂定名,
,,BBD,成都数联铭品科技有限公司,
,,BBD,成都数联铭品科技有限公司,
,,保隆汽车定增项目,上海保隆汽车科技股份有限公司,
,,威努特,北京威努特技术有限公司,
,,安车检测定增项目,深圳安车检测股份有限公司,
,,天易合芯,南京天易合芯电子有限公司,
