 凯赛生物 ,"111,212,300.00"
 康希诺 ,"104,016,200.00"
 键凯科技 ,"30,885,000.00"
 苑东生物 ,"53,391,700.00"
 海目星 ,"36,400,000.00"
 芯海科技 ,"28,525,000.00"
 泰坦科技 ,"40,000,000.00"
  会通股份  ,"19,037,300.00"
 艾力斯 ,"61,371,000.00"
 悦康药业 ,"65,772,000.00"
 方正电机 ,2703800
 华阳国际 ,6006000
 锦欣生殖 ,4978100
 顶点软件 ,"434,730,300.00"
 天宜上佳 ,"12,956,500.00"
 澜起科技 ,"167,461,700.00"
 铂力特 ,"25,658,400.00"
 赛诺医疗 ,4597800
 当虹科技 ,2207500
 道通科技 ,"20,852,500.00"
 财富趋势 ,"30,076,200.00"
 首都在线 ,"49,980,000.00"
 葫芦娃 ,"30,000,000.00"
 慧辰资讯 ,"50,000,000.00"
 寒武纪 ,"20,100,000.00"
 国光连锁 ,"31,274,200.00"
 康希诺 ,"20,000,000.00"
 苑东生物 ,"50,000,000.00"
  会通股份  ,"50,000,000.00"
  金科服务 ,"97,800,000.00"
  长江电力GDR  ,"148,738,900.00"
 舒华体育 ,"44,000,000.00"
 悦康药业 ,"200,000,000.00"
